id,graduated
CS-1980-00002,FALSE
CS-1980-00004,TRUE
CS-1980-00007,TRUE
CS-1980-00008,FALSE
CS-1980-00012,TRUE
CS-1980-00036,FALSE
CS-1980-00047,TRUE
CS-1980-00053,TRUE
CS-1980-00064,TRUE
CS-1980-00068,TRUE
CS-1980-00070,TRUE
CS-1980-00077,TRUE
CS-1980-00083,TRUE
CS-1980-00090,FALSE
CS-1980-00103,TRUE
CS-1980-00106,TRUE
CS-1980-00112,TRUE
CS-1980-00114,TRUE
CS-1980-00124,TRUE
CS-1980-00127,TRUE
CS-1980-00130,FALSE
CS-1980-00142,TRUE
CS-1980-00143,FALSE
CS-1980-00149,FALSE
CS-1980-00150,TRUE
CS-1980-00152,TRUE
CS-1980-00153,TRUE
CS-1980-00156,FALSE
CS-1980-00159,FALSE
CS-1980-00160,FALSE
CS-1980-00171,TRUE
CS-1980-00180,TRUE
CS-1980-00183,FALSE
CS-1980-00185,FALSE
CS-1980-00190,TRUE
CS-1980-00192,TRUE
CS-1980-00193,TRUE
CS-1980-00195,TRUE
CS-1980-00204,TRUE
CS-1980-00205,FALSE
CS-1980-00206,FALSE
CS-1980-00208,FALSE
CS-1980-00209,TRUE
CS-1980-00212,FALSE
CS-1980-00214,FALSE
CS-1980-00217,FALSE
CS-1980-00227,FALSE
CS-1980-00228,FALSE
CS-1980-00229,TRUE
CS-1980-00231,TRUE
CS-1980-00233,TRUE
CS-1980-00234,FALSE
CS-1980-00237,TRUE
CS-1980-00238,TRUE
CS-1980-00249,TRUE
CS-1980-00263,TRUE
CS-1980-00269,TRUE
CS-1980-00279,TRUE
CS-1980-00286,TRUE
CS-1980-00287,TRUE
CS-1980-00289,FALSE
CS-1980-00292,FALSE
CS-1980-00300,TRUE
CS-1980-00301,FALSE
CS-1980-00302,TRUE
CS-1980-00303,TRUE
CS-1980-00305,TRUE
CS-1980-00307,FALSE
CS-1980-00308,FALSE
CS-1980-00311,TRUE
CS-1980-00317,TRUE
CS-1980-00319,FALSE
CS-1980-00321,TRUE
CS-1980-00327,FALSE
CS-1980-00329,TRUE
CS-1980-00331,TRUE
CS-1980-00334,FALSE
